algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,100,inicio,0,1,9700,0
binaria,100,inicio,0,6,11300,25500
lineal,100,inicio,1,1,3900,0
binaria,100,inicio,1,6,3300,25500
lineal,100,inicio,2,1,1500,0
binaria,100,inicio,2,6,2000,25500
lineal,100,inicio,3,1,700,0
binaria,100,inicio,3,6,1900,25500
lineal,100,inicio,4,1,800,0
binaria,100,inicio,4,6,2000,25500
lineal,100,inicio,5,1,600,0
binaria,100,inicio,5,6,1800,25500
lineal,100,inicio,6,1,600,0
binaria,100,inicio,6,6,1600,25500
lineal,100,inicio,7,1,600,0
binaria,100,inicio,7,6,1600,25500
lineal,100,inicio,8,1,600,0
binaria,100,inicio,8,6,1700,25500
lineal,100,inicio,9,1,600,0
binaria,100,inicio,9,6,1800,25500
lineal,100,inicio,10,1,700,0
binaria,100,inicio,10,6,1600,25500
lineal,100,inicio,11,1,800,0
binaria,100,inicio,11,6,1500,25500
lineal,100,inicio,12,1,600,0
binaria,100,inicio,12,6,1700,25500
lineal,100,inicio,13,1,700,0
binaria,100,inicio,13,6,1600,25500
lineal,100,inicio,14,1,600,0
binaria,100,inicio,14,6,1500,25500
lineal,100,inicio,15,1,500,0
binaria,100,inicio,15,6,1500,25500
lineal,100,inicio,16,1,500,0
binaria,100,inicio,16,6,1600,25500
lineal,100,inicio,17,1,600,0
binaria,100,inicio,17,6,1600,25500
lineal,100,inicio,18,1,700,0
binaria,100,inicio,18,6,1600,25500
lineal,100,inicio,19,1,600,0
binaria,100,inicio,19,6,1600,25500
lineal,100,inicio,20,1,600,0
binaria,100,inicio,20,6,1700,25500
lineal,100,inicio,21,1,600,0
binaria,100,inicio,21,6,1700,25500
lineal,100,inicio,22,1,600,0
binaria,100,inicio,22,6,1600,25500
lineal,100,inicio,23,1,600,0
binaria,100,inicio,23,6,1600,25500
lineal,100,inicio,24,1,600,0
binaria,100,inicio,24,6,2600,25500
lineal,100,inicio,25,1,1000,0
