algoritmo,n,comparaciones_prom,comparaciones_mediana,tiempo_prom_ns,tiempo_mediana_ns,tiempo_min_ns,tiempo_max_ns
binaria,100,6.5,6.5,2060.8333333333335,1900.0,1500,11300
binaria,1000,9.5,9.5,3245.8333333333335,3100.0,2500,7300
binaria,10000,12.5,12.5,5812.5,4850.0,3600,15400
binaria,100000,12.5,12.5,4622.5,4000.0,3200,16400
binaria,500000,12.5,12.5,7520.0,4800.0,3500,125400
lineal,100,63.0,75.5,6579.166666666667,8650.0,500,20300
lineal,1000,625.5,750.5,76995.83333333333,105200.0,700,412300
lineal,10000,2733.0,3279.5,564863.3333333334,497050.0,800,13917200
lineal,100000,2733.0,3279.5,572477.5,404400.0,500,18859100
lineal,500000,2733.0,3279.5,543217.5,494850.0,700,7471000
