algoritmo,n,escenario,repeticion,comparaciones,tiempo_ns,tiempo_orden_ns
lineal,100,inicio,0,1,100,0
binaria,100,inicio,0,6,200,10500
lineal,100,inicio,1,1,100,0
binaria,100,inicio,1,6,100,10500
lineal,100,inicio,2,1,100,0
binaria,100,inicio,2,6,100,10500
lineal,100,inicio,3,1,100,0
binaria,100,inicio,3,6,100,10500
lineal,100,inicio,4,1,100,0
binaria,100,inicio,4,6,100,10500
lineal,100,inicio,5,1,100,0
binaria,100,inicio,5,6,100,10500
lineal,100,inicio,6,1,0,0
binaria,100,inicio,6,6,100,10500
lineal,100,inicio,7,1,0,0
binaria,100,inicio,7,6,100,10500
lineal,100,inicio,8,1,100,0
binaria,100,inicio,8,6,100,10500
lineal,100,inicio,9,1,100,0
binaria,100,inicio,9,6,100,10500
lineal,100,inicio,10,1,0,0
binaria,100,inicio,10,6,0,10500
lineal,100,inicio,11,1,100,0
binaria,100,inicio,11,6,100,10500
lineal,100,inicio,12,1,100,0
binaria,100,inicio,12,6,100,10500
lineal,100,inicio,13,1,100,0
binaria,100,inicio,13,6,100,10500
lineal,100,inicio,14,1,100,0
binaria,100,inicio,14,6,100,10500
lineal,100,inicio,15,1,100,0
binaria,100,inicio,15,6,100,10500
lineal,100,inicio,16,1,100,0
binaria,100,inicio,16,6,100,10500
lineal,100,inicio,17,1,100,0
binaria,100,inicio,17,6,100,10500
lineal,100,inicio,18,1,100,0
binaria,100,inicio,18,6,100,10500
lineal,100,inicio,19,1,0,0
binaria,100,inicio,19,6,100,10500
lineal,100,inicio,20,1,100,0
binaria,100,inicio,20,6,100,10500
lineal,100,inicio,21,1,100,0
binaria,100,inicio,21,6,100,10500
lineal,100,inicio,22,1,100,0
binaria,100,inicio,22,6,100,10500
lineal,100,inicio,23,1,100,0
binaria,100,inicio,23,6,100,10500
lineal,100,inicio,24,1,100,0
binaria,100,inicio,24,6,100,10500
lineal,100,inicio,25,1,100,0
binaria,100,inicio,25,6,100,10500
lineal,100,inicio,26,1,100,0
binaria,100,inicio,26,6,100,10500
lineal,100,inicio,27,1,0,0
binaria,100,inicio,27,6,100,10500
lineal,100,inicio,28,1,100,0
binaria,100,inicio,28,6,100,10500
lineal,100,inicio,29,1,100,0
binaria,100,inicio,29,6,100,10500
lineal,100,centro,0,51,300,0
binaria,100,centro,0,6,200,10500
lineal,100,centro,1,51,200,0
binaria,100,centro,1,6,200,10500
lineal,100,centro,2,51,200,0
binaria,100,centro,2,6,100,10500
lineal,100,centro,3,51,100,0
binaria,100,centro,3,6,200,10500
lineal,100,centro,4,51,100,0
binaria,100,centro,4,6,100,10500
lineal,100,centro,5,51,200,0
binaria,100,centro,5,6,100,10500
lineal,100,centro,6,51,200,0
binaria,100,centro,6,6,100,10500
lineal,100,centro,7,51,200,0
binaria,100,centro,7,6,100,10500
lineal,100,centro,8,51,200,0
binaria,100,centro,8,6,100,10500
lineal,100,centro,9,51,200,0
binaria,100,centro,9,6,100,10500
lineal,100,centro,10,51,200,0
binaria,100,centro,10,6,100,10500
lineal,100,centro,11,51,200,0
binaria,100,centro,11,6,100,10500
lineal,100,centro,12,51,100,0
binaria,100,centro,12,6,100,10500
lineal,100,centro,13,51,200,0
binaria,100,centro,13,6,100,10500
lineal,100,centro,14,51,200,0
binaria,100,centro,14,6,100,10500
lineal,100,centro,15,51,200,0
binaria,100,centro,15,6,100,10500
lineal,100,centro,16,51,200,0
binaria,100,centro,16,6,100,10500
lineal,100,centro,17,51,100,0
binaria,100,centro,17,6,200,10500
lineal,100,centro,18,51,100,0
binaria,100,centro,18,6,100,10500
lineal,100,centro,19,51,100,0
binaria,100,centro,19,6,100,10500
lineal,100,centro,20,51,100,0
binaria,100,centro,20,6,100,10500
lineal,100,centro,21,51,100,0
binaria,100,centro,21,6,100,10500
lineal,100,centro,22,51,100,0
binaria,100,centro,22,6,100,10500
lineal,100,centro,23,51,100,0
binaria,100,centro,23,6,100,10500
lineal,100,centro,24,51,200,0
binaria,100,centro,24,6,200,10500
lineal,100,centro,25,51,200,0
binaria,100,centro,25,6,100,10500
lineal,100,centro,26,51,200,0
binaria,100,centro,26,6,100,10500
lineal,100,centro,27,51,100,0
binaria,100,centro,27,6,100,10500
lineal,100,centro,28,51,100,0
binaria,100,centro,28,6,100,10500
lineal,100,centro,29,51,100,0
binaria,100,centro,29,6,100,10500
lineal,100,final,0,100,300,0
binaria,100,final,0,7,200,10500
lineal,100,final,1,100,200,0
binaria,100,final,1,7,100,10500
lineal,100,final,2,100,300,0
binaria,100,final,2,7,100,10500
lineal,100,final,3,100,200,0
binaria,100,final,3,7,100,10500
lineal,100,final,4,100,200,0
binaria,100,final,4,7,100,10500
lineal,100,final,5,100,200,0
binaria,100,final,5,7,100,10500
lineal,100,final,6,100,200,0
binaria,100,final,6,7,100,10500
lineal,100,final,7,100,200,0
binaria,100,final,7,7,100,10500
lineal,100,final,8,100,300,0
binaria,100,final,8,7,0,10500
lineal,100,final,9,100,200,0
binaria,100,final,9,7,100,10500
lineal,100,final,10,100,200,0
binaria,100,final,10,7,100,10500
lineal,100,final,11,100,200,0
binaria,100,final,11,7,100,10500
lineal,100,final,12,100,300,0
binaria,100,final,12,7,100,10500
lineal,100,final,13,100,200,0
binaria,100,final,13,7,100,10500
lineal,100,final,14,100,200,0
binaria,100,final,14,7,100,10500
lineal,100,final,15,100,200,0
binaria,100,final,15,7,100,10500
lineal,100,final,16,100,200,0
binaria,100,final,16,7,100,10500
lineal,100,final,17,100,300,0
binaria,100,final,17,7,100,10500
lineal,100,final,18,100,200,0
binaria,100,final,18,7,200,10500
lineal,100,final,19,100,200,0
binaria,100,final,19,7,21500,10500
lineal,100,final,20,100,200,0
binaria,100,final,20,7,200,10500
lineal,100,final,21,100,300,0
binaria,100,final,21,7,100,10500
lineal,100,final,22,100,200,0
binaria,100,final,22,7,100,10500
lineal,100,final,23,100,300,0
binaria,100,final,23,7,100,10500
lineal,100,final,24,100,200,0
binaria,100,final,24,7,100,10500
lineal,100,final,25,100,200,0
binaria,100,final,25,7,100,10500
lineal,100,final,26,100,200,0
binaria,100,final,26,7,100,10500
lineal,100,final,27,100,200,0
binaria,100,final,27,7,200,10500
lineal,100,final,28,100,200,0
binaria,100,final,28,7,100,10500
lineal,100,final,29,100,200,0
binaria,100,final,29,7,100,10500
lineal,100,ausente,0,100,200,0
binaria,100,ausente,0,7,200,10500
lineal,100,ausente,1,100,200,0
binaria,100,ausente,1,7,100,10500
lineal,100,ausente,2,100,300,0
binaria,100,ausente,2,7,100,10500
lineal,100,ausente,3,100,300,0
binaria,100,ausente,3,7,100,10500
lineal,100,ausente,4,100,200,0
binaria,100,ausente,4,7,100,10500
lineal,100,ausente,5,100,200,0
binaria,100,ausente,5,7,100,10500
lineal,100,ausente,6,100,200,0
binaria,100,ausente,6,7,100,10500
lineal,100,ausente,7,100,200,0
binaria,100,ausente,7,7,100,10500
lineal,100,ausente,8,100,200,0
binaria,100,ausente,8,7,100,10500
lineal,100,ausente,9,100,300,0
binaria,100,ausente,9,7,100,10500
lineal,100,ausente,10,100,300,0
binaria,100,ausente,10,7,100,10500
lineal,100,ausente,11,100,200,0
binaria,100,ausente,11,7,100,10500
lineal,100,ausente,12,100,200,0
binaria,100,ausente,12,7,100,10500
lineal,100,ausente,13,100,200,0
binaria,100,ausente,13,7,100,10500
lineal,100,ausente,14,100,200,0
binaria,100,ausente,14,7,100,10500
lineal,100,ausente,15,100,200,0
binaria,100,ausente,15,7,100,10500
lineal,100,ausente,16,100,200,0
binaria,100,ausente,16,7,100,10500
lineal,100,ausente,17,100,300,0
binaria,100,ausente,17,7,100,10500
lineal,100,ausente,18,100,200,0
binaria,100,ausente,18,7,100,10500
lineal,100,ausente,19,100,300,0
binaria,100,ausente,19,7,100,10500
lineal,100,ausente,20,100,200,0
binaria,100,ausente,20,7,100,10500
lineal,100,ausente,21,100,200,0
binaria,100,ausente,21,7,200,10500
lineal,100,ausente,22,100,200,0
binaria,100,ausente,22,7,100,10500
lineal,100,ausente,23,100,200,0
binaria,100,ausente,23,7,100,10500
lineal,100,ausente,24,100,200,0
binaria,100,ausente,24,7,100,10500
lineal,100,ausente,25,100,300,0
binaria,100,ausente,25,7,100,10500
lineal,100,ausente,26,100,200,0
binaria,100,ausente,26,7,100,10500
lineal,100,ausente,27,100,200,0
binaria,100,ausente,27,7,100,10500
lineal,100,ausente,28,100,300,0
binaria,100,ausente,28,7,100,10500
lineal,100,ausente,29,100,200,0
binaria,100,ausente,29,7,100,10500
lineal,1000,inicio,0,1,100,0
binaria,1000,inicio,0,9,200,117900
lineal,1000,inicio,1,1,100,0
binaria,1000,inicio,1,9,200,117900
lineal,1000,inicio,2,1,100,0
binaria,1000,inicio,2,9,100,117900
lineal,1000,inicio,3,1,0,0
binaria,1000,inicio,3,9,200,117900
lineal,1000,inicio,4,1,100,0
binaria,1000,inicio,4,9,100,117900
lineal,1000,inicio,5,1,100,0
binaria,1000,inicio,5,9,100,117900
lineal,1000,inicio,6,1,100,0
binaria,1000,inicio,6,9,100,117900
lineal,1000,inicio,7,1,0,0
binaria,1000,inicio,7,9,100,117900
lineal,1000,inicio,8,1,100,0
binaria,1000,inicio,8,9,100,117900
lineal,1000,inicio,9,1,100,0
binaria,1000,inicio,9,9,100,117900
lineal,1000,inicio,10,1,100,0
binaria,1000,inicio,10,9,100,117900
lineal,1000,inicio,11,1,100,0
binaria,1000,inicio,11,9,100,117900
lineal,1000,inicio,12,1,100,0
binaria,1000,inicio,12,9,100,117900
lineal,1000,inicio,13,1,100,0
binaria,1000,inicio,13,9,100,117900
lineal,1000,inicio,14,1,100,0
binaria,1000,inicio,14,9,100,117900
lineal,1000,inicio,15,1,100,0
binaria,1000,inicio,15,9,200,117900
